ID,Resort,Latitude,Longitude,Country,Continent,Price,Season,Highest point,Lowest point,Beginner slopes,Intermediate slopes,Difficult slopes,Total slopes,Longest run,Snow cannons,Surface lifts,Chair lifts,Gondola lifts,Total lifts,Lift capacity,Child friendly,Snowparks,Nightskiing,Summer skiing
167,Alta Badia,46.56467025,11.91021932,Italy,Europe,52,December - April,2550,1324,70,52,8,130,8,391,18,30,11,59,89327,Yes,Yes,No,No
212,Alto Sangro-Roccaraso-Rivisondoli,41.848167,14.079594,Italy,Europe,41,December - April,2141,1309,37,32,20,89,0,0,11,11,4,26,36602,Yes,No,No,No
186,Bardonecchia,45.078339,6.703205,Italy,Europe,36,December - April,2694,1312,54,38,8,100,0,0,13,9,1,23,27588,Yes,Yes,No,No
129,Champoluc (Monterosa Ski),45.8366951,7.731371649,Italy,Europe,43,December - April,3275,1212,23,94,15,132,0,655,9,9,12,30,31984,Yes,Yes,No,No
232,Civetta-Alleghe-Selva di Cadore-Palafavera-Zoldo,46.358117,12.05748586,Italy,Europe,43,December - April,2100,1000,30,44,6,80,0,100,10,10,3,23,33289,Yes,Yes,Yes,No
126,Cortina d'Ampezzo,46.5383332,12.1373506,Italy,Europe,52,November - April,2924,1224,45,55,20,120,11,130,8,26,6,40,48089,Yes,Yes,No,No
246,Folgaria-Fiorentini,45.9149727,11.173015,Italy,Europe,40,December - April,1850,1200,36,32,5,73,3,280,13,17,0,30,35900,Yes,Yes,No,No
18,Gressoney - La-Trinite (Monterosa Ski),45.8597574,7.752615678,Italy,Europe,43,December - April,3275,1212,23,94,15,132,8,655,9,9,12,30,31984,Yes,Yes,No,No
130,Kronplatz (Plan de Corones),46.7387791,11.9583111,Italy,Europe,54,November - April,2275,973,52,42,25,119,7,450,6,5,21,32,71205,Yes,Yes,Yes,No
32,La Thuile / La Rosière - Espace San Bernardo,45.7162875,6.9486119,Italy,Europe,43,December - April,2641,1176,55,83,22,160,0,0,21,18,1,40,53669,Yes,Yes,No,No
33,Livigno – Carosello/Mottolino,46.5200926,10.1289555,Italy,Europe,46,November - May,2798,1816,30,65,20,115,6,0,25,13,6,44,50850,Yes,Yes,Yes,No
34,Madonna di Campiglio-Pinzolo-Folgarida-Marilleva,46.2269942,10.8270157,Italy,Europe,50,November - April,2504,770,60,68,22,150,5,0,14,34,17,65,102340,Yes,Yes,Yes,No
182,Mondole Ski-Artesina-Frabosa Soprana-Prato Nevoso,44.249446,7.775081,Italy,Europe,33,Unknown,807,803,42,51,11,104,0,0,19,14,0,33,26068,Yes,Yes,Yes,No
133,Sauze d’Oulx (Via Lattea),45.0259571,6.8602827,Italy,Europe,48,November - April,2749,1372,96,220,84,400,0,0,29,35,7,71,96433,Yes,No,Yes,No
38,Sestriere ski resort (Via Lattea),44.954538,6.880658,Italy,Europe,48,November - April,2749,1372,96,220,84,400,7,0,29,35,7,71,96433,Yes,No,Yes,No
243,Three Peaks Dolomites-Helm-Stiergarten-Rotwand-Kreuzbergpass,46.731048,12.327947,Italy,Europe,51,November - April,2200,1130,17,39,18,74,4,250,20,4,6,30,21535,Yes,Yes,No,No
17,Val Gardena,46.5766427,11.6444217,Italy,Europe,54,December - April,2518,1236,52,105,18,175,10,630,29,41,14,84,121914,Yes,Yes,No,No
5,Hafjell,61.2303686,10.52901357,Norway,Europe,45,November - April,1030,195,33,7,4,44,6,150,14,3,1,18,21060,Yes,Yes,Yes,No
300,Oppdal,62.53517845,9.62330412,Norway,Europe,44,Unknown,1300,585,40,7,9,56,0,0,1,0,0,1,0,Yes,No,No,No
248,Trysil,61.3561472,12.36702596,Norway,Europe,46,October - May,1100,415,33,18,20,71,5,418,29,7,0,36,36182,Yes,Yes,Yes,No
390,Alpika Service,43.667196,40.246821,Russia,Europe,0,December - April,2228,535,10,10,5,25,0,0,1,1,7,9,18120,Yes,No,No,No
463,Gornaya Karusel,43.683048,40.266475,Russia,Europe,22,December - April,960,540,4,15,1,20,0,0,3,1,0,4,15740,Yes,No,No,No
239,Rosa Khutor,43.6709708,40.2970765,Russia,Europe,22,December - April,2320,940,30,26,21,77,7,450,6,11,10,27,49228,Yes,Yes,No,No
342,Jasna Nizke Tatry-Chopok,48.966941,19.58101661,Slovakia,Europe,39,December - May,2004,943,19,17,7,43,6,527,19,8,5,32,35225,Yes,Yes,Yes,No
480,Kubinska hola,49.2852625,19.26742095,Slovakia,Europe,26,December - April,1396,720,2,10,2,14,0,60,2,1,2,5,11480,Yes,Yes,No,No
485,Tatranska Lomnica,49.1655267,20.2791933,Slovakia,Europe,35,December - April,2190,888,5,5,1,11,6,216,3,1,0,4,12480,Yes,No,No,No
438,Kobla-Bohinj,46.2338617,13.9650643,Slovenia,Europe,22,December - March,1480,540,12,10,1,23,0,30,3,3,0,6,5720,Yes,No,No,No
84,Kranjska Gora,46.485132,13.7843957,Slovenia,Europe,33,December - April,1215,800,10,8,2,20,2,0,15,5,0,20,17774,Yes,Yes,Yes,No
355,Mariborsko Pohorje-Maribor,46.5153389,15.5782311,Slovenia,Europe,31,December - March,1327,325,23,13,5,41,0,92,16,5,1,22,23436,Yes,No,Yes,No
132,Baqueira / Beret,42.6988865,0.9347175,Spain,Europe,50,December - April,2510,1471,79,52,19,150,5,629,14,19,2,35,53997,Yes,Yes,No,No
241,Cerler,42.5927404,0.5384221,Spain,Europe,42,December - April,2621,1505,35,27,14,76,0,0,10,9,0,19,20670,Yes,Yes,No,No
